Time,J0_pos,J1_pos,J2_pos,J3_pos,J4_pos,J0_vel,J1_vel,J2_vel,J3_vel,J4_vel,J0_acc,J1_acc,J2_acc,J3_acc,J4_acc
2.384185791015625e-07,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04544329643249512,0.002,0.002,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04550504684448242,0.003,0.003,0.003,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.045532941818237305,0.004,0.004,0.004,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04555630683898926,0.005,0.005,0.005,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0455780029296875,0.006,0.006,0.006,0.006,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.045598745346069336,0.007,0.007,0.007,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04561948776245117,0.008,0.008,0.008,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.045639991760253906,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.045662641525268555,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04877305030822754,0.011000000000000003,0.011000000000000003,0.011000000000000003,0.011000000000000003,0.011000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04882025718688965,0.012000000000000004,0.012000000000000004,0.012000000000000004,0.012000000000000004,0.012000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.048848628997802734,0.013000000000000005,0.013000000000000005,0.013000000000000005,0.013000000000000005,0.013000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0488736629486084,0.014000000000000005,0.014000000000000005,0.014000000000000005,0.014000000000000005,0.014000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.048897504806518555,0.015000000000000006,0.015000000000000006,0.015000000000000006,0.015000000000000006,0.015000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04892086982727051,0.016000000000000007,0.016000000000000007,0.016000000000000007,0.016000000000000007,0.016000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04894423484802246,0.017000000000000008,0.017000000000000008,0.017000000000000008,0.017000000000000008,0.017000000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04896736145019531,0.01800000000000001,0.01800000000000001,0.01800000000000001,0.01800000000000001,0.01800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04899334907531738,0.01900000000000001,0.01900000000000001,0.01900000000000001,0.01900000000000001,0.01900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06660747528076172,0.02000000000000001,0.02000000000000001,0.02000000000000001,0.02000000000000001,0.02000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0666661262512207,0.02100000000000001,0.02100000000000001,0.02100000000000001,0.02100000000000001,0.02100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06669425964355469,0.022000000000000013,0.022000000000000013,0.022000000000000013,0.022000000000000013,0.022000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06671929359436035,0.023000000000000013,0.023000000000000013,0.023000000000000013,0.023000000000000013,0.023000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06674313545227051,0.024000000000000014,0.024000000000000014,0.024000000000000014,0.024000000000000014,0.024000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06676602363586426,0.025000000000000015,0.025000000000000015,0.025000000000000015,0.025000000000000015,0.025000000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06678891181945801,0.026000000000000016,0.026000000000000016,0.026000000000000016,0.026000000000000016,0.026000000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0668191909790039,0.027000000000000017,0.027000000000000017,0.027000000000000017,0.027000000000000017,0.027000000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06684470176696777,0.028000000000000018,0.028000000000000018,0.028000000000000018,0.028000000000000018,0.028000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08233428001403809,0.02900000000000002,0.02900000000000002,0.02900000000000002,0.02900000000000002,0.02900000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08239173889160156,0.03000000000000002,0.03000000000000002,0.03000000000000002,0.03000000000000002,0.03000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
