Time,P_J0,P_J1,P_J2,P_J3,P_J4
4.76837158203125e-07,0.001,0.001,0.001,0.001,0.001
0.03050518035888672,0.002,0.002,0.002,0.002,0.002
0.03055882453918457,0.003,0.003,0.003,0.003,0.003
0.0305788516998291,0.004,0.004,0.004,0.004,0.004
0.030594587326049805,0.005,0.005,0.005,0.005,0.005
0.030609130859375,0.006,0.006,0.006,0.006,0.006
0.030623197555541992,0.007,0.007,0.007,0.007,0.007
0.03064131736755371,0.008,0.008,0.008,0.008,0.008
0.030661821365356445,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001
0.04839801788330078,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002
0.048453330993652344,0.011000000000000003,0.011000000000000003,0.011000000000000003,0.011000000000000003,0.011000000000000003
0.04847455024719238,0.012000000000000004,0.012000000000000004,0.012000000000000004,0.012000000000000004,0.012000000000000004
0.0484926700592041,0.013000000000000005,0.013000000000000005,0.013000000000000005,0.013000000000000005,0.013000000000000005
0.04850935935974121,0.014000000000000005,0.014000000000000005,0.014000000000000005,0.014000000000000005,0.014000000000000005
0.04852581024169922,0.015000000000000006,0.015000000000000006,0.015000000000000006,0.015000000000000006,0.015000000000000006
0.04854154586791992,0.016000000000000007,0.016000000000000007,0.016000000000000007,0.016000000000000007,0.016000000000000007
0.048557281494140625,0.017000000000000008,0.017000000000000008,0.017000000000000008,0.017000000000000008,0.017000000000000008
0.04857349395751953,0.01800000000000001,0.01800000000000001,0.01800000000000001,0.01800000000000001,0.01800000000000001
0.06646251678466797,0.01900000000000001,0.01900000000000001,0.01900000000000001,0.01900000000000001,0.01900000000000001
0.06651520729064941,0.02000000000000001,0.02000000000000001,0.02000000000000001,0.02000000000000001,0.02000000000000001
0.06653594970703125,0.02100000000000001,0.02100000000000001,0.02100000000000001,0.02100000000000001,0.02100000000000001
0.06655359268188477,0.022000000000000013,0.022000000000000013,0.022000000000000013,0.022000000000000013,0.022000000000000013
0.06657052040100098,0.023000000000000013,0.023000000000000013,0.023000000000000013,0.023000000000000013,0.023000000000000013
0.06658649444580078,0.024000000000000014,0.024000000000000014,0.024000000000000014,0.024000000000000014,0.024000000000000014
0.06660270690917969,0.025000000000000015,0.025000000000000015,0.025000000000000015,0.025000000000000015,0.025000000000000015
0.06661820411682129,0.026000000000000016,0.026000000000000016,0.026000000000000016,0.026000000000000016,0.026000000000000016
0.0666341781616211,0.027000000000000017,0.027000000000000017,0.027000000000000017,0.027000000000000017,0.027000000000000017
0.0814061164855957,0.028000000000000018,0.028000000000000018,0.028000000000000018,0.028000000000000018,0.028000000000000018
0.08145880699157715,0.02900000000000002,0.02900000000000002,0.02900000000000002,0.02900000000000002,0.02900000000000002
0.08147954940795898,0.03000000000000002,0.03000000000000002,0.03000000000000002,0.03000000000000002,0.03000000000000002
0.0814969539642334,0.03100000000000002,0.03100000000000002,0.03100000000000002,0.03100000000000002,0.03100000000000002
0.08151388168334961,0.03200000000000002,0.03200000000000002,0.03200000000000002,0.03200000000000002,0.03200000000000002
0.08153033256530762,0.03300000000000002,0.03300000000000002,0.03300000000000002,0.03300000000000002,0.03300000000000002
0.08154654502868652,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.03400000000000002
0.08157157897949219,0.035000000000000024,0.035000000000000024,0.035000000000000024,0.035000000000000024,0.035000000000000024
0.08160710334777832,0.036000000000000025,0.036000000000000025,0.036000000000000025,0.036000000000000025,0.036000000000000025
0.09708523750305176,0.037000000000000026,0.037000000000000026,0.037000000000000026,0.037000000000000026,0.037000000000000026
0.09714388847351074,0.03800000000000003,0.03800000000000003,0.03800000000000003,0.03800000000000003,0.03800000000000003
0.09716510772705078,0.03900000000000003,0.03900000000000003,0.03900000000000003,0.03900000000000003,0.03900000000000003
0.0971827507019043,0.04000000000000003,0.04000000000000003,0.04000000000000003,0.04000000000000003,0.04000000000000003
0.0971994400024414,0.04100000000000003,0.04100000000000003,0.04100000000000003,0.04100000000000003,0.04100000000000003
0.09721565246582031,0.04200000000000003,0.04200000000000003,0.04200000000000003,0.04200000000000003,0.04200000000000003
0.09723663330078125,0.04300000000000003,0.04300000000000003,0.04300000000000003,0.04300000000000003,0.04300000000000003
0.09725427627563477,0.04400000000000003,0.04400000000000003,0.04400000000000003,0.04400000000000003,0.04400000000000003
0.09727072715759277,0.04500000000000003,0.04500000000000003,0.04500000000000003,0.04500000000000003,0.04500000000000003
0.11373281478881836,0.046000000000000034,0.046000000000000034,0.046000000000000034,0.046000000000000034,0.046000000000000034
0.11380648612976074,0.047000000000000035,0.047000000000000035,0.047000000000000035,0.047000000000000035,0.047000000000000035
0.11383557319641113,0.048000000000000036,0.048000000000000036,0.048000000000000036,0.048000000000000036,0.048000000000000036
0.11385583877563477,0.04900000000000004,0.04900000000000004,0.04900000000000004,0.04900000000000004,0.04900000000000004
0.1138763427734375,0.05000000000000004,0.05000000000000004,0.05000000000000004,0.05000000000000004,0.05000000000000004
0.1139070987701416,0.05100000000000004,0.05100000000000004,0.05100000000000004,0.05100000000000004,0.05100000000000004
0.11392712593078613,0.05200000000000004,0.05200000000000004,0.05200000000000004,0.05200000000000004,0.05200000000000004
0.11394357681274414,0.05300000000000004,0.05300000000000004,0.05300000000000004,0.05300000000000004,0.05300000000000004
0.11395978927612305,0.05400000000000004,0.05400000000000004,0.05400000000000004,0.05400000000000004,0.05400000000000004
0.13040542602539062,0.05500000000000004,0.05500000000000004,0.05500000000000004,0.05500000000000004,0.05500000000000004
0.1304786205291748,0.05600000000000004,0.05600000000000004,0.05600000000000004,0.05600000000000004,0.05600000000000004
0.1305091381072998,0.057000000000000044,0.057000000000000044,0.057000000000000044,0.057000000000000044,0.057000000000000044
0.1305382251739502,0.058000000000000045,0.058000000000000045,0.058000000000000045,0.058000000000000045,0.058000000000000045
0.13056278228759766,0.059000000000000045,0.059000000000000045,0.059000000000000045,0.059000000000000045,0.059000000000000045
0.13058090209960938,0.060000000000000046,0.060000000000000046,0.060000000000000046,0.060000000000000046,0.060000000000000046
0.1305983066558838,0.06100000000000005,0.06100000000000005,0.06100000000000005,0.06100000000000005,0.06100000000000005
0.13062500953674316,0.06200000000000005,0.06200000000000005,0.06200000000000005,0.06200000000000005,0.06200000000000005
0.14706707000732422,0.06300000000000004,0.06300000000000004,0.06300000000000004,0.06300000000000004,0.06300000000000004
0.1471259593963623,0.06400000000000004,0.06400000000000004,0.06400000000000004,0.06400000000000004,0.06400000000000004
0.14715957641601562,0.06500000000000004,0.06500000000000004,0.06500000000000004,0.06500000000000004,0.06500000000000004
0.14719462394714355,0.06600000000000004,0.06600000000000004,0.06600000000000004,0.06600000000000004,0.06600000000000004
0.14722061157226562,0.06700000000000005,0.06700000000000005,0.06700000000000005,0.06700000000000005,0.06700000000000005
0.1472480297088623,0.06800000000000005,0.06800000000000005,0.06800000000000005,0.06800000000000005,0.06800000000000005
0.14727568626403809,0.06900000000000005,0.06900000000000005,0.06900000000000005,0.06900000000000005,0.06900000000000005
0.14729595184326172,0.07000000000000005,0.07000000000000005,0.07000000000000005,0.07000000000000005,0.07000000000000005
0.14731264114379883,0.07100000000000005,0.07100000000000005,0.07100000000000005,0.07100000000000005,0.07100000000000005
0.1637868881225586,0.07200000000000005,0.07200000000000005,0.07200000000000005,0.07200000000000005,0.07200000000000005
0.16392016410827637,0.07300000000000005,0.07300000000000005,0.07300000000000005,0.07300000000000005,0.07300000000000005
0.16396546363830566,0.07400000000000005,0.07400000000000005,0.07400000000000005,0.07400000000000005,0.07400000000000005
0.16399812698364258,0.07500000000000005,0.07500000000000005,0.07500000000000005,0.07500000000000005,0.07500000000000005
0.16402196884155273,0.07600000000000005,0.07600000000000005,0.07600000000000005,0.07600000000000005,0.07600000000000005
0.1640491485595703,0.07700000000000005,0.07700000000000005,0.07700000000000005,0.07700000000000005,0.07700000000000005
0.16408014297485352,0.07800000000000006,0.07800000000000006,0.07800000000000006,0.07800000000000006,0.07800000000000006
0.16410183906555176,0.07900000000000006,0.07900000000000006,0.07900000000000006,0.07900000000000006,0.07900000000000006
0.18049097061157227,0.08000000000000006,0.08000000000000006,0.08000000000000006,0.08000000000000006,0.08000000000000006
0.18057727813720703,0.08100000000000006,0.08100000000000006,0.08100000000000006,0.08100000000000006,0.08100000000000006
0.1806340217590332,0.08200000000000006,0.08200000000000006,0.08200000000000006,0.08200000000000006,0.08200000000000006
0.18068218231201172,0.08300000000000006,0.08300000000000006,0.08300000000000006,0.08300000000000006,0.08300000000000006
0.18072247505187988,0.08400000000000006,0.08400000000000006,0.08400000000000006,0.08400000000000006,0.08400000000000006
0.18075990676879883,0.08500000000000006,0.08500000000000006,0.08500000000000006,0.08500000000000006,0.08500000000000006
0.1808011531829834,0.08600000000000006,0.08600000000000006,0.08600000000000006,0.08600000000000006,0.08600000000000006
0.1808309555053711,0.08700000000000006,0.08700000000000006,0.08700000000000006,0.08700000000000006,0.08700000000000006
0.18086481094360352,0.08800000000000006,0.08800000000000006,0.08800000000000006,0.08800000000000006,0.08800000000000006
0.19733142852783203,0.08900000000000007,0.08900000000000007,0.08900000000000007,0.08900000000000007,0.08900000000000007
0.19746804237365723,0.09000000000000007,0.09000000000000007,0.09000000000000007,0.09000000000000007,0.09000000000000007
0.1975538730621338,0.09100000000000007,0.09100000000000007,0.09100000000000007,0.09100000000000007,0.09100000000000007
0.1976470947265625,0.09200000000000007,0.09200000000000007,0.09200000000000007,0.09200000000000007,0.09200000000000007
0.1977245807647705,0.09300000000000007,0.09300000000000007,0.09300000000000007,0.09300000000000007,0.09300000000000007
0.19778800010681152,0.09400000000000007,0.09400000000000007,0.09400000000000007,0.09400000000000007,0.09400000000000007
0.19783663749694824,0.09500000000000007,0.09500000000000007,0.09500000000000007,0.09500000000000007,0.09500000000000007
0.19787955284118652,0.09600000000000007,0.09600000000000007,0.09600000000000007,0.09600000000000007,0.09600000000000007
0.2142961025238037,0.09700000000000007,0.09700000000000007,0.09700000000000007,0.09700000000000007,0.09700000000000007
0.21454262733459473,0.09800000000000007,0.09800000000000007,0.09800000000000007,0.09800000000000007,0.09800000000000007
0.21469736099243164,0.09900000000000007,0.09900000000000007,0.09900000000000007,0.09900000000000007,0.09900000000000007
0.2147982120513916,0.10000000000000007,0.10000000000000007,0.10000000000000007,0.10000000000000007,0.10000000000000007
0.21488547325134277,0.10100000000000008,0.10100000000000008,0.10100000000000008,0.10100000000000008,0.10100000000000008
0.21500563621520996,0.10200000000000008,0.10200000000000008,0.10200000000000008,0.10200000000000008,0.10200000000000008
0.21515250205993652,0.10300000000000008,0.10300000000000008,0.10300000000000008,0.10300000000000008,0.10300000000000008
0.21529030799865723,0.10400000000000008,0.10400000000000008,0.10400000000000008,0.10400000000000008,0.10400000000000008
